Frequency (Hz)	Level (dB)
5671.875000	-78.634163
5677.734375	-78.463501
5683.593750	-79.230431
5689.453125	-78.135956
5695.312500	-77.980927
5701.171875	-77.975632
5707.031250	-75.827133
5712.890625	-76.516769
5718.750000	-78.161377
5724.609375	-78.731575
5730.468750	-75.866997
5736.328125	-72.902214
5742.187500	-65.549599
5748.046875	-58.721352
5753.906250	-58.143909
5759.765625	-59.167011
5765.625000	-56.502197
5771.484375	-60.349602
5777.343750	-64.619164
5783.203125	-66.811584
5789.062500	-71.729660
5794.921875	-77.057648
5800.781250	-79.695923
5806.640625	-77.524208
5812.500000	-72.801842
5818.359375	-71.580231
5824.218750	-76.131683
5830.078125	-82.972389
5835.937500	-83.498566
5841.796875	-83.855362
5847.656250	-84.474976
5853.515625	-83.174423
5859.375000	-81.566673
5865.234375	-81.686142
5871.093750	-79.504250
5876.953125	-79.734932
5882.812500	-81.108200
5888.671875	-81.208069
5894.531250	-84.868568
5900.390625	-82.585266
5906.250000	-83.366394
5912.109375	-85.080719
5917.968750	-86.412155
5923.828125	-86.816345
5929.687500	-86.382462
5935.546875	-87.623535
5941.406250	-88.967514
5947.265625	-89.376358
5953.125000	-89.014473
5958.984375	-84.007362
5964.843750	-83.974541
5970.703125	-84.304016
5976.562500	-85.227600
5982.421875	-87.193230
5988.281250	-90.888374
5994.140625	-87.288368
6000.000000	-85.607872
6005.859375	-86.459763
6011.718750	-87.960846
6017.578125	-87.889809
6023.437500	-87.094475
6029.296875	-88.741920
6035.156250	-90.915817
6041.015625	-92.672798
6046.875000	-90.309448
6052.734375	-90.482872
6058.593750	-92.240402
6064.453125	-94.010094
6070.312500	-93.713394
6076.171875	-93.802834
6082.031250	-94.361641
6087.890625	-94.616692
6093.750000	-95.192963
6099.609375	-93.383339
6105.468750	-92.247704
6111.328125	-91.879967
6117.187500	-92.387253
6123.046875	-92.027931
6128.906250	-92.937103
6134.765625	-91.893135
6140.625000	-92.593285
6146.484375	-94.047997
6152.343750	-94.523308
6158.203125	-95.611969
6164.062500	-92.993942
6169.921875	-88.806061
6175.781250	-85.059334
6181.640625	-80.223763
6187.500000	-73.141899
6193.359375	-65.418686
6199.218750	-61.662308
6205.078125	-58.824661
6210.937500	-58.280373
6216.796875	-62.997746
6222.656250	-66.370636
6228.515625	-71.718956
6234.375000	-78.615990
6240.234375	-78.971008
6246.093750	-80.535622
6251.953125	-81.199738
6257.812500	-79.554260
6263.671875	-77.468636
6269.531250	-80.973747
6275.390625	-87.923927
6281.250000	-87.274818
6287.109375	-86.858421
6292.968750	-87.372223
6298.828125	-86.189034
6304.687500	-86.281303
6310.546875	-87.361198
6316.406250	-87.248322
6322.265625	-88.397743
6328.125000	-88.845619
6333.984375	-89.207436
6339.843750	-88.643883
6345.703125	-84.878769
6351.562500	-83.685013
6357.421875	-86.227463
6363.281250	-89.467834
6369.140625	-88.915390
6375.000000	-90.126038
6380.859375	-89.153397
6386.718750	-87.591599
6392.578125	-86.553886
6398.437500	-87.383583
6404.296875	-87.342064
6410.156250	-87.589973
6416.015625	-85.953644
6421.875000	-85.474342
6427.734375	-87.816391
6433.593750	-89.830231
6439.453125	-88.416824
6445.312500	-86.785240
6451.171875	-85.676613
6457.031250	-85.324638
6462.890625	-87.267502
6468.750000	-86.179375
6474.609375	-86.975563
6480.468750	-87.586044
6486.328125	-87.277550
6492.187500	-85.037895
6498.046875	-85.565643
6503.906250	-83.654137
6509.765625	-83.509865
6515.625000	-85.789009
6521.484375	-85.746742
6527.343750	-85.227676
6533.203125	-83.749199
6539.062500	-84.329201
6544.921875	-86.192223
6550.781250	-85.216698
6556.640625	-85.587486
6562.500000	-84.599106
6568.359375	-84.406921
6574.218750	-85.759140
6580.078125	-86.877899
6585.937500	-85.658882
6591.796875	-84.111588
6597.656250	-83.468971
6603.515625	-84.562004
6609.375000	-83.479439
6615.234375	-81.498665
6621.093750	-76.390213
6626.953125	-68.229401
6632.812500	-59.425587
6638.671875	-56.006145
6644.531250	-59.162075
6650.390625	-60.251114
6656.250000	-62.475037
6662.109375	-69.481140
6667.968750	-74.536087
6673.828125	-77.863075
6679.687500	-77.443031
6685.546875	-76.216400
6691.406250	-77.071426
6697.265625	-79.366470
6703.125000	-79.603355
6708.984375	-75.364876
6714.843750	-75.066528
6720.703125	-79.513641
6726.562500	-83.376358
6732.421875	-84.738976
6738.281250	-84.665611
6744.140625	-86.048012
6750.000000	-88.797905
6755.859375	-87.228081
6761.718750	-86.801361
6767.578125	-85.557831
6773.437500	-83.537766
6779.296875	-83.228058
6785.156250	-84.110794
6791.015625	-81.192162
6796.875000	-80.305267
6802.734375	-82.418037
6808.593750	-83.586815
6814.453125	-83.371437
6820.312500	-84.983772
6826.171875	-85.403656
6832.031250	-83.662895
6837.890625	-83.424934
6843.750000	-85.522820
6849.609375	-85.006134
6855.468750	-83.296745
6861.328125	-83.010513
6867.187500	-84.910515
6873.046875	-86.762611
