Frequency (Hz)	Level (dB)
4710.388184	-84.207802
4715.771484	-83.183884
4721.154785	-83.180862
4726.538086	-84.972710
4731.921387	-86.594299
4737.304688	-88.312622
4742.687988	-87.959824
4748.071289	-88.358269
4753.454590	-88.849968
4758.837891	-89.194466
4764.221191	-87.760674
4769.604492	-88.462753
4774.987793	-89.381088
4780.371094	-90.054901
4785.754395	-89.912254
4791.137695	-92.810905
4796.520996	-86.993286
4801.904297	-88.397720
4807.287598	-88.298210
4812.670898	-89.202934
4818.054199	-87.164352
4823.437500	-87.520157
4828.820801	-84.831551
4834.204102	-81.345184
4839.587402	-74.392342
4844.970703	-67.318222
4850.354004	-62.808170
4855.737305	-65.216461
4861.120605	-67.334793
4866.503906	-68.106110
4871.887207	-64.594666
4877.270508	-58.912254
4882.653809	-58.513004
4888.037109	-67.204819
4893.420410	-81.713524
4898.803711	-85.175110
4904.187012	-86.983284
4909.570312	-88.280342
4914.953613	-88.883286
4920.336914	-88.162819
4925.720215	-87.652435
4931.103516	-89.967293
4936.486816	-89.631752
4941.870117	-88.481590
4947.253418	-88.823715
4952.636719	-89.471741
4958.020020	-90.881760
4963.403320	-90.298973
4968.786621	-89.786148
4974.169922	-88.035248
4979.553223	-87.690651
4984.936523	-87.405968
4990.319824	-84.935860
4995.703125	-85.096649
5001.086426	-86.600159
5006.469727	-87.182610
5011.853027	-87.642334
5017.236328	-87.501183
5022.619629	-88.796753
5028.002930	-88.590080
5033.386230	-85.577805
5038.769531	-85.766762
5044.152832	-87.174858
5049.536133	-88.651237
5054.919434	-87.967415
5060.302734	-86.828102
5065.686035	-88.898727
5071.069336	-86.887627
5076.452637	-85.365501
5081.835938	-82.981674
5087.219238	-84.500198
5092.602539	-83.424171
5097.985840	-82.885765
5103.369141	-81.696289
5108.752441	-81.739532
5114.135742	-83.750549
5119.519043	-83.556900
5124.902344	-83.437210
5130.285645	-83.065224
5135.668945	-82.230682
5141.052246	-83.298729
5146.435547	-81.168983
5151.818848	-81.427856
5157.202148	-82.455467
5162.585449	-83.392693
5167.968750	-83.267097
5173.352051	-81.608620
5178.735352	-81.876457
5184.118652	-81.705589
5189.501953	-82.070625
5194.885254	-81.208649
5200.268555	-82.451424
5205.651855	-84.249306
5211.035156	-82.768692
5216.418457	-85.507149
5221.801758	-85.850517
5227.185059	-85.554207
5232.568359	-86.156555
5237.951660	-85.576302
5243.334961	-86.284630
5248.718262	-85.261230
5254.101562	-86.161041
5259.484863	-83.148422
5264.868164	-83.663048
5270.251465	-83.059418
5275.634766	-80.116547
5281.018066	-75.086159
5286.401367	-69.759720
5291.784668	-67.441040
5297.167969	-72.768425
5302.551270	-70.927811
5307.934570	-70.547058
