Frequency (Hz)	Level (dB)
3854.443359	-92.379005
3859.826660	-89.589073
3865.209961	-93.862747
3870.593262	-90.597733
3875.976562	-82.805412
3881.359863	-79.145699
3886.743164	-81.624046
3892.126465	-78.596375
3897.509766	-79.977203
3902.893066	-86.452446
3908.276367	-76.317474
3913.659668	-73.815140
3919.042969	-76.352455
3924.426270	-76.536545
3929.809570	-83.434837
3935.192871	-78.572632
3940.576172	-78.676247
3945.959473	-71.446159
3951.342773	-72.468414
3956.726074	-56.718494
3962.109375	-50.189568
3967.492676	-41.132698
3972.875977	-39.029770
3978.259277	-45.569157
3983.642578	-56.296051
3989.025879	-68.639946
3994.409180	-75.866623
3999.792480	-79.719864
4005.175781	-81.975990
4010.559082	-82.132973
4015.942383	-80.609840
4021.325684	-92.464264
4026.708984	-85.392845
4032.092285	-89.209213
4037.475586	-88.920311
4042.858887	-89.637344
4048.242188	-91.802231
4053.625488	-90.563377
4059.008789	-92.172119
4064.392090	-91.996506
4069.775391	-91.056282
4075.158691	-92.704010
4080.541992	-98.637512
4085.925293	-87.321442
4091.308594	-87.000946
4096.691895	-85.823456
4102.075195	-85.024673
4107.458496	-87.442459
4112.841797	-89.325203
4118.225098	-94.302994
4123.608398	-91.821968
4128.991699	-86.059013
4134.375000	-85.112473
4139.758301	-88.683678
4145.141602	-89.023315
4150.524902	-87.294395
4155.908203	-90.183983
4161.291504	-89.786484
4166.674805	-94.107239
4172.058105	-90.267105
4177.441406	-95.398468
4182.824707	-93.080566
4188.208008	-88.917526
4193.591309	-84.604111
4198.974609	-83.193077
4204.357910	-87.438675
4209.741211	-85.404266
4215.124512	-95.989693
4220.507812	-87.051506
4225.891113	-85.893562
4231.274414	-92.766922
4236.657715	-85.020699
4242.041016	-78.083862
4247.424316	-79.317123
4252.807617	-79.079445
4258.190918	-80.193100
4263.574219	-82.245155
4268.957520	-84.674561
4274.340820	-83.623596
4279.724121	-70.172241
4285.107422	-67.744438
4290.490723	-54.898167
4295.874023	-52.382084
4301.257324	-42.911682
4306.640625	-40.088062
4312.023926	-47.092972
4317.407227	-56.037880
4322.790527	-63.420403
4328.173828	-71.175072
4333.557129	-77.432671
4338.940430	-74.247314
4344.323730	-74.657326
4349.707031	-77.676506
4355.090332	-84.524696
4360.473633	-88.270584
4365.856934	-90.430733
4371.240234	-88.184959
4376.623535	-95.307014
4382.006836	-91.772636
4387.390137	-86.377556
4392.773438	-83.944923
4398.156738	-85.111053
4403.540039	-84.906609
4408.923340	-84.399078
4414.306641	-86.234085
4419.689941	-86.156517
4425.073242	-95.572998
4430.456543	-86.182236
4435.839844	-89.811104
4441.223145	-85.845192
4446.606445	-88.915977
4451.989746	-89.269432
4457.373047	-92.996643
4462.756348	-82.619934
4468.139648	-85.385147
4473.522949	-98.157402
4478.906250	-87.712578
4484.289551	-87.721703
4489.672852	-95.018677
4495.056152	-77.622124
4500.439453	-80.621086
4505.822754	-94.465302
4511.206055	-93.903076
4516.589355	-95.821693
4521.972656	-86.691681
4527.355957	-94.143761
4532.739258	-88.171341
4538.122559	-94.908127
4543.505859	-90.751564
4548.889160	-94.061783
4554.272461	-88.689903
4559.655762	-84.325005
4565.039062	-86.871353
4570.422363	-93.525055
4575.805664	-85.035316
4581.188965	-80.081917
4586.572266	-77.750694
4591.955566	-83.050919
4597.338867	-92.146301
4602.722168	-85.606499
4608.105469	-74.428230
4613.488770	-67.108459
4618.872070	-57.805729
4624.255371	-50.561001
4629.638672	-49.064903
4635.021973	-40.109219
4640.405273	-38.848896
4645.788574	-45.590973
4651.171875	-56.186367
4656.555176	-67.849930
4661.938477	-68.716148
4667.321777	-68.976875
4672.705078	-70.822807
4678.088379	-73.148880
4683.471680	-75.916748
4688.854980	-78.500648
4694.238281	-79.572319
4699.621582	-86.081169
4705.004883	-92.625198
4710.388184	-94.966614
4715.771484	-87.560715
4721.154785	-86.110710
4726.538086	-84.708397
4731.921387	-90.665855
4737.304688	-86.969711
4742.687988	-86.561996
4748.071289	-90.405960
4753.454590	-82.809868
4758.837891	-86.048141
4764.221191	-88.230133
4769.604492	-91.210861
4774.987793	-95.932793
4780.371094	-99.369629
4785.754395	-94.405273
4791.137695	-93.097481
4796.520996	-94.426765
4801.904297	-87.056732
4807.287598	-87.150627
4812.670898	-82.213638
4818.054199	-82.447350
4823.437500	-90.878761
4828.820801	-92.678596
4834.204102	-92.252594
4839.587402	-98.091583
4844.970703	-86.149246
4850.354004	-90.016273
4855.737305	-91.046341
4861.120605	-89.459328
4866.503906	-87.287231
4871.887207	-91.734184
4877.270508	-100.171165
4882.653809	-95.740471
4888.037109	-91.937721
4893.420410	-89.866356
4898.803711	-94.937874
4904.187012	-91.927879
4909.570312	-90.886406
4914.953613	-95.130020
4920.336914	-102.142487
4925.720215	-95.592239
4931.103516	-86.513664
4936.486816	-87.287277
4941.870117	-84.716751
4947.253418	-72.733894
4952.636719	-67.333427
4958.020020	-63.493690
4963.403320	-55.607235
4968.786621	-51.523159
4974.169922	-50.815918
4979.553223	-57.163868
4984.936523	-66.571129
4990.319824	-75.018112
4995.703125	-76.284653
5001.086426	-81.240173
5006.469727	-73.882111
5011.853027	-76.168579
5017.236328	-93.851120
5022.619629	-85.235023
5028.002930	-85.139893
5033.386230	-86.959991
5038.769531	-89.023125
5044.152832	-95.618027
5049.536133	-89.810730
5054.919434	-88.799408
5060.302734	-87.766075
5065.686035	-83.514061
5071.069336	-84.005531
5076.452637	-97.092651
5081.835938	-93.171539
5087.219238	-91.130096
5092.602539	-84.939926
5097.985840	-83.232018
5103.369141	-89.991478
5108.752441	-90.868835
5114.135742	-91.332092
5119.519043	-87.402992
5124.902344	-87.104988
5130.285645	-87.647484
5135.668945	-90.095718
5141.052246	-94.280830
5146.435547	-85.501892
5151.818848	-90.845901
5157.202148	-93.190186
5162.585449	-88.803886
5167.968750	-90.630013
5173.352051	-87.321129
5178.735352	-84.460213
5184.118652	-85.128563
5189.501953	-97.136795
5194.885254	-89.820778
5200.268555	-89.750641
5205.651855	-90.974678
5211.035156	-100.004471
5216.418457	-89.353966
5221.801758	-88.534378
5227.185059	-86.443817
5232.568359	-86.247147
5237.951660	-93.793121
5243.334961	-93.116356
5248.718262	-91.165565
5254.101562	-86.603844
5259.484863	-91.596489
5264.868164	-75.322006
5270.251465	-76.263847
5275.634766	-77.149261
5281.018066	-61.248486
5286.401367	-55.298927
5291.784668	-55.591957
5297.167969	-56.563023
5302.551270	-52.055122
5307.934570	-47.045513
5313.317871	-50.639404
5318.701172	-59.907978
5324.084473	-65.591576
5329.467773	-67.321716
5334.851074	-70.293877
5340.234375	-71.786507
5345.617676	-73.540909
5351.000977	-76.110542
5356.384277	-78.355293
5361.767578	-75.920959
5367.150879	-73.725449
5372.534180	-76.416573
5377.917480	-88.384361
5383.300781	-86.010384
5388.684082	-81.852242
5394.067383	-78.788933
5399.450684	-83.485130
5404.833984	-81.537117
5410.217285	-76.566757
5415.600586	-79.397919
5420.983887	-79.722290
5426.367188	-79.008148
5431.750488	-81.447701
5437.133789	-94.195572
5442.517090	-85.454941
5447.900391	-84.509750
5453.283691	-84.249672
5458.666992	-82.918594
5464.050293	-80.154228
5469.433594	-83.585510
5474.816895	-85.453804
5480.200195	-79.388832
5485.583496	-80.346352
5490.966797	-75.471779
5496.350098	-75.254333
5501.733398	-81.710365
5507.116699	-84.449303
5512.500000	-79.500229
5517.883301	-76.020119
5523.266602	-74.628464
5528.649902	-84.830612
5534.033203	-87.923492
5539.416504	-88.722687
5544.799805	-87.672966
5550.183105	-84.568642
5555.566406	-83.384850
5560.949707	-83.222130
5566.333008	-91.545341
5571.716309	-91.648109
5577.099609	-84.450104
5582.482910	-85.866470
5587.866211	-94.843262
5593.249512	-108.261070
5598.632812	-88.065239
5604.016113	-80.607109
5609.399414	-76.811104
5614.782715	-77.163940
5620.166016	-76.148643
5625.549316	-68.121918
5630.932617	-57.291748
5636.315918	-54.282986
5641.699219	-53.671249
5647.082520	-56.926441
5652.465820	-63.908524
5657.849121	-69.083061
5663.232422	-66.911598
5668.615723	-67.688286
5673.999023	-76.118851
5679.382324	-75.876846
5684.765625	-72.626587
5690.148926	-74.257370
5695.532227	-79.960655
5700.915527	-91.936798
5706.298828	-84.349503
5711.682129	-76.702805
5717.065430	-81.927505
5722.448730	-79.700211
5727.832031	-81.426994
5733.215332	-76.983322
5738.598633	-78.501488
5743.981934	-77.237350
5749.365234	-72.876015
5754.748535	-76.691612
5760.131836	-82.218842
5765.515137	-75.303154
5770.898438	-79.993713
5776.281738	-74.137970
5781.665039	-69.619164
5787.048340	-77.133102
5792.431641	-80.716850
5797.814941	-75.370514
5803.198242	-77.578438
5808.581543	-76.011101
5813.964844	-77.609520
5819.348145	-81.454758
5824.731445	-77.171577
5830.114746	-71.860687
5835.498047	-73.963486
5840.881348	-78.984734
5846.264648	-80.905807
5851.647949	-74.737770
5857.031250	-73.397804
5862.414551	-72.119865
5867.797852	-75.032234
5873.181152	-74.960320
5878.564453	-71.242577
5883.947754	-74.365227
5889.331055	-79.770813
5894.714355	-77.691315
5900.097656	-75.465981
5905.480957	-76.920128
5910.864258	-75.127121
5916.247559	-70.680199
5921.630859	-71.549072
5927.014160	-76.822472
5932.397461	-78.907440
5937.780762	-84.736336
5943.164062	-72.414986
5948.547363	-67.492401
5953.930664	-67.062553
5959.313965	-68.428528
5964.697266	-73.368439
5970.080566	-63.235706
5975.463867	-57.437847
5980.847168	-56.958858
5986.230469	-65.027206
5991.613770	-76.251732
5996.997070	-81.838684
6002.380371	-79.118011
6007.763672	-74.822411
6013.146973	-74.209183
6018.530273	-78.203796
6023.913574	-85.241158
6029.296875	-93.210854
6034.680176	-87.886002
6040.063477	-93.486168
6045.446777	-98.790276
6050.830078	-88.713936
6056.213379	-82.783974
6061.596680	-79.289139
6066.979980	-76.358284
6072.363281	-78.325844
6077.746582	-88.974976
6083.129883	-85.160255
6088.513184	-80.303711
6093.896484	-82.558594
6099.279785	-87.549438
6104.663086	-80.500465
6110.046387	-77.493477
6115.429688	-82.238983
6120.812988	-82.836365
6126.196289	-80.103760
6131.579590	-77.079575
6136.962891	-75.818123
6142.346191	-77.066048
6147.729492	-73.847824
6153.112793	-76.934288
6158.496094	-87.668114
6163.879395	-77.305740
6169.262695	-76.143707
6174.645996	-76.205162
6180.029297	-81.652039
6185.412598	-83.684799
6190.795898	-78.463585
6196.179199	-79.809669
6201.562500	-86.435883
6206.945801	-74.910461
6212.329102	-70.116051
6217.712402	-71.924011
6223.095703	-73.012947
6228.479004	-71.078522
6233.862305	-73.710709
6239.245605	-78.792084
6244.628906	-72.801437
6250.012207	-71.814178
6255.395508	-74.596695
6260.778809	-73.658302
6266.162109	-76.935165
6271.545410	-67.260834
6276.928711	-63.920425
6282.312012	-67.214317
6287.695312	-68.381973
6293.078613	-67.393013
6298.461914	-72.869476
6303.845215	-57.214870
6309.228516	-48.608833
6314.611816	-40.464642
6319.995117	-42.518021
